tipo,local,>65anos
Município,Arcos de Valdevez,6807
Município,Caminha,4110
Município,Melgaço,2941
Município,Monção,5275
Município,Paredes de Coura,2381
Município,Ponte da Barca,2772
Município,Ponte de Lima,9121
Município,Valença,3325
Município,Viana do Castelo,19537
Município,Vila Nova de Cerveira,2103
Município,Amares,3465
Município,Barcelos,21218
Município,Braga,31224
Município,Esposende,6065
Município,Terras de Bouro,1718
Município,Vila Verde,9026
Município,Cabeceiras de Basto,3061
Município,Fafe,9789
Município,Guimarães,28102
Município,Mondim de Basto,1576
Município,Póvoa de Lanhoso,4113
Município,Vieira do Minho,2852
Município,Vila Nova de Famalicão,24214
Município,Vizela,3721
Município,Arouca,4472
Município,Espinho,7765
Município,Gondomar,33346
Município,Maia,24900
Município,Matosinhos,37758
Município,Oliveira de Azeméis,14484
Município,Paredes,13191
Município,Porto,61716
Município,Póvoa de Varzim,11865
Município,Santa Maria da Feira,26631
Município,Santo Tirso,15674
Município,São João da Madeira,4406
Município,Trofa,7084
Município,Vale de Cambra,5488
Município,Valongo,17823
Município,Vila do Conde,15233
Município,Vila Nova de Gaia,59394
Município,Boticas,1649
Município,Chaves,10900
Município,Montalegre,3255
Município,Ribeira de Pena,1640
Município,Valpaços,5259
Município,Vila Pouca de Aguiar,3638
Município,Amarante,10265
Município,Baião,4057
Município,Castelo de Paiva,2974
Município,Celorico de Basto,3928
Município,Cinfães,4240
Município,Felgueiras,9143
Município,Lousada,6637
Município,Marcode Canaveses,8514
Município,Paços de Ferreira,8413
Município,Penafiel,11396
Município,Resende,2356
Município,Alijó,3296
Município,Armamar,1566
Município,CarrazedadeAnsiães,1981
Município,Freixo de Espada à Cinta,1004
Município,Lamego,5728
Município,Mesão Frio,915
Município,Moimenta da Beira,2438
Município,Murça,1657
Município,Penedono,708
Município,Peso da Régua,3683
Município,Sabrosa,1663
Município,Santa Marta de Penaguião,1826
Município,São João da Pesqueira,1697
Município,Sernancelhe,1417
Município,Tabuaço,1548
Município,Tarouca,1654
Município,Torre de Moncorvo,2792
Município,Vila Nova de Foz Côa,2044
Município,Vila Real,10633
Município,Alfândega da Fé,1502
Município,Bragança,8465
Município,Macedo de Cavaleiros,4610
Município,Miranda do Douro,2286
Município,Mirandela,6184
Município,Mogadouro,2979
Município,Vila Flor,1838
Município,Vimioso,1393
Município,Vinhais,3268
Município,Alcobaça,12548
Município,Alenquer,8474
Município,Arruda dos Vinhos,2985
Município,Bombarral,3070
Município,Cadaval,3611
Município,Caldas da Rainha,11509
Município,Lourinhã,5306
Município,Nazaré,3356
Município,Óbidos,2855
Município,Peniche,6086
