ID;Description;numSlots;shortName;Lat;Lon;isManual;webDescription;photo
1;Moravia;15;MRV;6,276585;-75,564804;1;Frente a la entrada principal del Centro de Desarrollo Cultural de Moravia;https://encicla.metropol.gov.co/imgstations/moravia.jpg
2;Universidad;33;UNI;6,269267;-75,5653;1;Bajo el viaducto de la estación Universidad del Metro;https://encicla.metropol.gov.co/imgstations/universidad.jpg
3;Ruta N;40;RTN;6,265182;-75,566348;0;Frente a la fachada principal de Ruta N sobre la ciclorruta de la Avenida Carabobo.;https://encicla.metropol.gov.co/imgstations/ruta_n.jpg
4;Punto Cero;10;PT0;6,265161;-75,575066;1;Intercambio vial de Punto Cero al lado de la estación de policía;https://encicla.metropol.gov.co/imgstations/punto_cero.jpg
5;Universidad Nacional;33;NA;6,259663;-75,578812;1;Portería de la Iguaná con Carrera 65 de la Universidad Nacional;https://encicla.metropol.gov.co/imgstations/universidad_nacional.jpg
6;Colombia;12;COL;6,25649;-75,581024;1;Esquina occidental de la Carrera 65 con Calle 51;https://encicla.metropol.gov.co/imgstations/colombia.jpg
7;Suramericana;20;SUR;6,253003;-75,582687;1;Bajo el viaducto de la estación Suramericana del Metro;https://encicla.metropol.gov.co/imgstations/suramericana.jpg
8;Estadio;20;EST;6,253349;-75,587692;1;Bajo el viaducto de la estación Estadio del Metro en el parqueadero de bicicletas;https://encicla.metropol.gov.co/imgstations/estadio.jpg
9;San Juan;14;SJU;6,249014;-75,588585;0;Costado norte de la Calle 44 San Juan con Carrera 70;https://encicla.metropol.gov.co/imgstations/san_juan.jpg
10;UPB;12;UPB;6,244998;-75,589188;1;Sobre la ciclorruta de la Carrera 70 frente a la entrada de la UPB;https://encicla.metropol.gov.co/imgstations/upb.jpg
11;Los Colores;22;COL;6,260004;-75,585136;0;Al frente de la entrada principal de la Institución Universitaria Salazar y Herrera;https://encicla.metropol.gov.co/imgstations/los_colores.jpg
12;Floresta;20;FLO;6,258628;-75,597366;1;Bajo el viaducto de la estación Floresta del Metro en el parqueadero de bicicletas;https://encicla.metropol.gov.co/imgstations/los_colores.jpg
13;Robledo;21;ROB;6,271922;-75,591324;1;Diagonal al Colegio Mayor de Antioquia;
19;Plaza de La Libertad;38;ALP;6,2434627;-75,5746534;0;Costado sur de la Plaza de la Libertad al lado de La Alpujarra;https://encicla.metropol.gov.co/imgstations/plaza_de_la_libertad.jpg
20;Parque de Los Mangos;18;MNG;6,245383;-75,584008;0;Esquina de la Av. Bolivariana con Carrera 65,  costado norte parque de Los Mangos;https://encicla.metropol.gov.co/imgstations/parque_de_los_mangos.jpg
21;La 33;21;33;6,239151;-75,583073;1;Costado sur bajo el puente de la Carrera 65 con sobre la Calle 33;https://encicla.metropol.gov.co/imgstations/la_33.jpg
22;Primer Parque de Laureles;32;LAU;6,24597;-75,593812;0;Costado norte del 1er Parque de Laureles,  al borde de la ciclorruta;https://encicla.metropol.gov.co/imgstations/primer_parque_de_laureles.jpg
23;Rosales;9;ROS;6,231326;-75,591538;1;Esquina de la Cll. 30 con Cra. 70, diagonal a la estación Rosales de Metroplús;https://encicla.metropol.gov.co/imgstations/rosales.jpg
24;Maria Luisa Calle;27;MLC;6,21553;-75,593096;1;Entrada principal de la Unidad Deportiva Maria Luisa Calle ;https://encicla.metropol.gov.co/imgstations/maria_luisa_calle.jpg
27;Sabaneta Parque;1;SPQ;6,151631;-75,615623;1;Costado sur Parque de sabaneta;NULL
28;Sabaneta Metro;1;SMT;6,1568288;-75,616668;1;Ingreso oriental estación Sabaneta del Metro;NULL
32;San Pedro y San Pablo;40;PME;6,258327;-75,594235;0;Esquina de la calle 48 con carrera 77A, barrio Estadio.;https://encicla.metropol.gov.co/imgstations/san_pedro_y_san_pablo.jpg
33;Pies Descalzos I;24;DES;6,245512;-75,577011;0;En el túnel verde EPM al costado norte de Pies Descalzos;https://encicla.metropol.gov.co/imgstations/pies_descalzos.jpg
34;Área Metropolitana;21;AMV;6,242481;-75,573872;1;Al frente del edificio del Área Metropolitana sobre el costado norte de la Calle Los Huesos;https://encicla.metropol.gov.co/imgstations/area_metropolitana.jpg
35;Plaza Mayor;20;PLZ;6,2426281;-75,5756351;0;Costado sur de Plaza Mayor sobre la Avenida Ferrocarril,  salida puente peatonal de Metroplús;https://encicla.metropol.gov.co/imgstations/plaza_mayor.jpg
36;Parque de Las Luces I;28;CIS;6,246078;-75,571561;0;Plaza de Cisneros frente a los edificios Carré y Vásquez;https://encicla.metropol.gov.co/imgstations/parque_de_las_luces_I.jpg
